stage_id,tutorial,publish_at,clearCount,deckCount,totalCardCount,mapScore,clear_rate_a,clear_rate_b,clear_rate_c,original_json_file_name
CC_0254,,2026-04-15 21:00:00.000,8,10,32,905,,,,Hard_obj_-4476877194344761137_-4476877194344761137.json
CC_0210,,2026-04-15 21:00:00.000,10,15,26,715,,,,Normal_obj_6770950828906184028_6770950828906184028.json
CC_0102,,2026-03-26 09:00:00.000,6,11,24,655,,,,Easy_obj_52113043959410109_52113043959410109.json
CC_0063,,2026-03-26 09:00:00.000,6,10,20,560,,,,VeryEasy_obj_-4155513570435425491_-4155513570435425491.json
CC_0185,,2026-03-27 21:00:00.000,8,15,20,550,97,73,56,Easy_obj_7439937634274103084_7439937634274103084.json
CC_0095,,2026-03-26 09:00:00.000,8,10,26,710,,,,Easy_obj_-6047974373355539936_-6047974373355539936.json
CC_0044,,2026-03-27 03:00:00.000,4,8,30,785,74,66,26,Normal_obj_1831427186976436287_1831427186976436287.json
CC_0060,,2026-03-26 09:00:00.000,6,17,26,765,,,,VeryEasy_obj_-3497900895194738745_-3497900895194738745.json
CC_0023,,2026-03-27 03:00:00.000,8,12,16,440,12,98,97,Easy_obj_3831311201260693714_3831311201260693714.json
CC_0143,,2026-03-27 03:00:00.000,6,10,20,595,96,14,17,VeryEasy_obj_-5160501193721807590_-5160501193721807590.json
CC_0041,,2026-03-26 18:00:00.000,8,13,27,765,90,20,9,Normal_obj_-4992867742494819935_-4992867742494819935.json
CC_0139,,2026-03-27 03:00:00.000,9,14,22,640,82,40,23,VeryEasy_obj_-1696629807019250226_-1696629807019250226.json
CC_0148,,2026-03-27 03:00:00.000,7,17,23,635,72,90,99,VeryEasy_obj_-7990036166338069588_-7990036166338069588.json
CC_0244,,2026-04-15 21:00:00.000,5,10,20,565,,,,VeryEasy_obj_8811596432623043044_8811596432623043044.json
CC_0055,,2026-03-26 09:00:00.000,4,8,18,470,,,,VeryEasy_obj_-320157688675798089_-320157688675798089.json
CC_0138,,2026-03-26 09:00:00.000,6,8,17,475,,,,VeryEasy_obj_-828087633740053413_-828087633740053413.json
CC_0051,,2026-03-26 18:00:00.000,14,18,28,800,95,14,17,Normal_obj_6000994190887629578_6000994190887629578.json
CC_0018,,2026-03-26 18:00:00.000,9,11,27,800,81,4,7,Easy_obj_920385332275007299_920385332275007299.json
CC_0049,,2026-03-26 09:00:00.000,9,11,27,725,,,,Normal_obj_5804309417974679092_5804309417974679092.json
CC_0107,,2026-03-27 12:00:00.000,9,14,23,650,91,30,8,Easy_obj_7253623987517722760_7253623987517722760.json
CC_0276,,2026-04-15 21:00:00.000,8,17,32,945,,,,Hard_obj_3359574634543574482_3359574634543574482.json
CC_0175,,,6,12,28,785,39,45,14,Easy_obj_-9175821671489067789_-9175821671489067789.json
CC_0218,,2026-04-15 21:00:00.000,7,11,20,600,,,,VeryEasy_obj_-4001980453628435627_-4001980453628435627.json
CC_0099,,2026-03-26 09:00:00.000,9,14,28,800,,,,Easy_obj_-7685571440398158826_-7685571440398158826.json
CC_0160,,2026-03-26 18:00:00.000,,10,21,595,81,19,16,VeryEasy_obj_6192741706486804959_6192741706486804959.json
CC_0048,,2026-03-26 18:00:00.000,9,14,28,800,86,28,10,Normal_obj_4229540007875167400_4229540007875167400.json
CC_0192,,2026-04-15 21:00:00.000,6,13,29,845,,,,Hard_obj_6427872015658360888_6427872015658360888.json
CC_0190,,2026-04-15 21:00:00.000,8,10,32,915,,,,Hard_obj_3899271523029084104_3899271523029084104.json
CC_0189,,2026-04-15 21:00:00.000,8,15,29,855,,,,Hard_obj_1442615540840690690_1442615540840690690.json
CC_0287,,2026-04-15 21:00:00.000,15,18,32,955,,,,Hard_obj_7710084902751132835_7710084902751132835.json
CC_0009,,2026-03-26 18:00:00.000,6,12,26,725,0,75,43,Easy_obj_-3819987064685043330_-3819987064685043330.json
CC_0037,,2026-03-26 18:00:00.000,8,16,27,770,95,14,33,Normal_obj_-130971407812354464_-130971407812354464.json
CC_0272,,2026-04-16 06:00:00.000,6,10,31,905,,,,Hard_obj_2408438036868712511_2408438036868712511.json
CC_0273,,2026-04-15 21:00:00.000,8,10,30,880,,,,Hard_obj_2519617144431508815_2519617144431508815.json
CC_0269,,2026-04-15 21:00:00.000,6,10,31,890,,,,Hard_obj_269226819039724544_269226819039724544.json
CC_0127,,2026-03-26 18:00:00.000,8,10,28,785,75,10,4,Normal_obj_-4896860215059842360_-4896860215059842360.json
CC_0187,,2026-03-26 18:00:00.000,7,9,29,810,76,11,1,Hard_obj_-4717586371069404904_-4717586371069404904.json
CC_0131,,2026-03-26 18:00:00.000,11,17,26,770,94,7,12,Normal_obj_3304954166619344972_3304954166619344972.json
CC_0001,,2026-03-26 18:00:00.000,6,12,23,670,87,24,21,Easy_obj_-3647190157396289_-3647190157396289.json
CC_0052,,2026-03-26 18:00:00.000,6,10,28,775,84,15,16,Normal_obj_6115397501473313561_6115397501473313561.json
CC_0034,,2026-03-26 18:00:00.000,6,12,28,795,89,24,4,Hard_obj_-3856468907512424979_-3856468907512424979.json
CC_0206,,2026-04-15 21:00:00.000,5,8,27,785,,,,Normal_obj_5370209783260445704_5370209783260445704.json
